well	Pi_conc	sensor_conc	date	data_file
A1	5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt
A2	4.5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt
A3	4	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt
A4	3	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt
A5	2	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt
A6	1.5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt
A7	1	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt
A8	0.75	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt
A9	0.5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt
A10	0.25	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt
A11	0.1	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt
A12	0	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt
B1	15	20	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt
B2	14	20	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt
B3	13	20	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt
B4	12	20	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt
B5	10	20	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt
B6	9	20	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt
B7	8	20	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt
B8	7	20	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt
B9	6	20	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt
B10	5	20	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt
B11	4	20	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt
B12	0	20	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt
A2	3	10	20181205	GTPase_assay/2018_data/20181205_GAP_calibration.txt
A3	2	10	20181205	GTPase_assay/2018_data/20181205_GAP_calibration.txt
A4	1	10	20181205	GTPase_assay/2018_data/20181205_GAP_calibration.txt
A5	0.75	10	20181205	GTPase_assay/2018_data/20181205_GAP_calibration.txt
A6	0.5	10	20181205	GTPase_assay/2018_data/20181205_GAP_calibration.txt
A7	0.1	10	20181205	GTPase_assay/2018_data/20181205_GAP_calibration.txt
B2	0	10	20181205	GTPase_assay/2018_data/20181205_GAP_calibration.txt
B3	2	10	20181205	GTPase_assay/2018_data/20181205_GAP_calibration.txt
B4	1	10	20181205	GTPase_assay/2018_data/20181205_GAP_calibration.txt
B5	0.75	10	20181205	GTPase_assay/2018_data/20181205_GAP_calibration.txt
B6	0.5	10	20181205	GTPase_assay/2018_data/20181205_GAP_calibration.txt
B7	0.1	10	20181205	GTPase_assay/2018_data/20181205_GAP_calibration.txt
C2	18	20	20181205	GTPase_assay/2018_data/20181205_GAP_calibration.txt
C3	16	20	20181205	GTPase_assay/2018_data/20181205_GAP_calibration.txt
C4	14	20	20181205	GTPase_assay/2018_data/20181205_GAP_calibration.txt
C5	12	20	20181205	GTPase_assay/2018_data/20181205_GAP_calibration.txt
C6	10	20	20181205	GTPase_assay/2018_data/20181205_GAP_calibration.txt
C7	8	20	20181205	GTPase_assay/2018_data/20181205_GAP_calibration.txt
D2	6	20	20181205	GTPase_assay/2018_data/20181205_GAP_calibration.txt
D3	5	20	20181205	GTPase_assay/2018_data/20181205_GAP_calibration.txt
D4	4	20	20181205	GTPase_assay/2018_data/20181205_GAP_calibration.txt
D5	2	20	20181205	GTPase_assay/2018_data/20181205_GAP_calibration.txt
D6	0.75	20	20181205	GTPase_assay/2018_data/20181205_GAP_calibration.txt
D7	0	20	20181205	GTPase_assay/2018_data/20181205_GAP_calibration.txt
E2	12	20	20181205	GTPase_assay/2018_data/20181205_GAP_calibration.txt
E3	8	20	20181205	GTPase_assay/2018_data/20181205_GAP_calibration.txt
E4	5	20	20181205	GTPase_assay/2018_data/20181205_GAP_calibration.txt
E5	3	20	20181205	GTPase_assay/2018_data/20181205_GAP_calibration.txt
E6	1	20	20181205	GTPase_assay/2018_data/20181205_GAP_calibration.txt
E7	0.5	20	20181205	GTPase_assay/2018_data/20181205_GAP_calibration.txt
G3	40	50	20190515	GTPase_assay/2018_data/20190515_calibrate_50uM_sensor.txt
G4	30	50	20190515	GTPase_assay/2018_data/20190515_calibrate_50uM_sensor.txt
G5	20	50	20190515	GTPase_assay/2018_data/20190515_calibrate_50uM_sensor.txt
G6	10	50	20190515	GTPase_assay/2018_data/20190515_calibrate_50uM_sensor.txt
G7	5	50	20190515	GTPase_assay/2018_data/20190515_calibrate_50uM_sensor.txt
G8	2	50	20190515	GTPase_assay/2018_data/20190515_calibrate_50uM_sensor.txt
G9	0.5	50	20190515	GTPase_assay/2018_data/20190515_calibrate_50uM_sensor.txt
G10	0	50	20190515	GTPase_assay/2018_data/20190515_calibrate_50uM_sensor.txt
F1	12	20	20190522	GTPase_assay/2018_data/20190522_20uM_sensor_calibration.txt
